"1#ptn.1","FBbt:00008111","FBbt:00008110","FBbt:00111536","FBbt:00006033",,,,,,,,,,
"1#ptn.2","FBbt:00008111","FBbt:00008110","FBbt:00111536",,,,,,,,,,,
"1#ptn.3","FBbt:00008111","FBbt:00008110","FBbt:00111536",,,,,,,,,,,
"1#ptn.4","FBbt:00008110","FBbt:00111536","FBbt:00111537","FBbt:00006033",,,,,,,,,,
"1#ptn.5","FBbt:00008111","FBbt:00008110","FBbt:00111537","FBbt:00006033",,,,,,,,,,
"1#ptn.6","FBbt:00008111","FBbt:00111536","FBbt:00006033",,,,,,,,,,,
"1#ptn.7","FBbt:00008110","FBbt:00111536","FBbt:00006029",,,,,,,,,,,
"1#ptn.8","FBbt:00008110","FBbt:00111536","FBbt:00006029",,,,,,,,,,,
"1#ptn.9","FBbt:00008111","FBbt:00008110","FBbt:00111537","FBbt:00006029",,,,,,,,,,
"1#ptn.10","FBbt:00008110","FBbt:00111536","FBbt:00111537","FBbt:00006029",,,,,,,,,,
"1#ptn.11","FBbt:00008111","FBbt:00008110","FBbt:00111536","FBbt:00006029",,,,,,,,,,
"1#ptn.12","FBbt:00008110","FBbt:00111537","FBbt:00006029",,,,,,,,,,,
"1#ptn.13","FBbt:00008111","FBbt:00111536","FBbt:00111537","FBbt:00006029",,,,,,,,,,
"1#ptn.14","FBbt:00008111","FBbt:00111537",,,,,,,,,,,,
"1#ptn.15","FBbt:00008111","FBbt:00111536","FBbt:00111537","FBbt:00006029",,,,,,,,,,
"1#ptn.16","FBbt:00008111","FBbt:00111536","FBbt:00006029",,,,,,,,,,,
"1#ptn.17","FBbt:00008110","FBbt:00111537",,,,,,,,,,,,
"1#ptn.18","FBbt:00008110","FBbt:00111537","FBbt:00006029",,,,,,,,,,,
"1#ptn.19","FBbt:00008110","FBbt:00111537",,,,,,,,,,,,
"2#ptn.1","FBbt:00000167","FBbt:00008113","FBbt:000081112","FBbt:00111539","FBbt:00111538",,,,,,,,,
"2#ptn.2","FBbt:00000167","FBbt:00008113","FBbt:000081112","FBbt:00111539",,,,,,,,,,
"2#ptn.3","FBbt:00110755","FBbt:00110803","FBbt:00110746","FBbt:00008113","FBbt:000081112","FBbt:00111539","FBbt:00111538",,,,,,,
"2#ptn.4","FBbt:00000167","FBbt:00008113","FBbt:000081112","FBbt:00111538",,,,,,,,,,
"2#ptn.5","FBbt:00110754","FBbt:00110783","FBbt:00110727","FBbt:00110759","FBbt:00110788","FBbt:00110732","FBbt:00110768","FBbt:00110795","FBbt:00110741","FBbt:00110782","FBbt:00110800","FBbt:00110743","FBbt:00008113","FBbt:00111538"
"2#ptn.6","FBbt:00110759","FBbt:00110788","FBbt:00110732","FBbt:00110768","FBbt:00110795","FBbt:00110741","FBbt:00110782","FBbt:00110800","FBbt:00110743","FBbt:000081112","FBbt:00111539",,,
"2#ptn.7","FBbt:00110754","FBbt:00110783","FBbt:00110727","FBbt:00110759","FBbt:00110788","FBbt:00110732","FBbt:00110768","FBbt:00110795","FBbt:00110741","FBbt:000081112","FBbt:00111539",,,
"2#ptn.8","FBbt:00110754","FBbt:00110783","FBbt:00110727","FBbt:000081112","FBbt:00111539","FBbt:00111538",,,,,,,,
"2#ptn.9","FBbt:00110759","FBbt:00110788","FBbt:00110732","FBbt:00110768","FBbt:00110795","FBbt:00110741","FBbt:00008113","FBbt:00111539",,,,,,
"2#ptn.10","FBbt:00110754","FBbt:00110783","FBbt:00110727","FBbt:00110759","FBbt:00110788","FBbt:00110732","FBbt:00008113","FBbt:000081112","FBbt:00111538",,,,,
"2#ptn.11","FBbt:00110759","FBbt:00110788","FBbt:00110732","FBbt:00110768","FBbt:00110795","FBbt:00110741","FBbt:00110782","FBbt:00110800","FBbt:00110743","FBbt:000081112","FBbt:00111538",,,
"2#ptn.12","FBbt:00110754","FBbt:00110783","FBbt:00110727","FBbt:00008113","FBbt:00111538",,,,,,,,,
"2#ptn.13","FBbt:00110782","FBbt:00110800","FBbt:00110743","FBbt:00008113","FBbt:00111539",,,,,,,,,
"2#ptn.14","FBbt:00110782","FBbt:00110800","FBbt:00110743","FBbt:00008113","FBbt:00111538",,,,,,,,,
"2#ptn.15","FBbt:00000167","FBbt:00008113","FBbt:00111538",,,,,,,,,,,
"3#ptn.1","FBbt:00008122","FBbt:00111549",,,,,,,,,,,,
"3#ptn.2","FBbt:00111559","FBbt:00111557",,,,,,,,,,,,
"3#ptn.3","FBbt:00111559","FBbt:00111557",,,,,,,,,,,,
"3#ptn.4","FBbt:00111559","FBbt:00111557",,,,,,,,,,,,
"3#ptn.5","FBbt:00111558","FBbt:00111557",,,,,,,,,,,,
"3#ptn.6","FBbt:00111559","FBbt:00111557",,,,,,,,,,,,
"3#ptn.7","FBbt:00111559","FBbt:00111557",,,,,,,,,,,,
"3#ptn.8","FBbt:00008123","FBbt:00111548","FBbt:00111549",,,,,,,,,,,
"3#ptn.9","FBbt:00111557",,,,,,,,,,,,,
"3#ptn.10","FBbt:00111559","FBbt:00111556",,,,,,,,,,,,
"3#ptn.11","FBbt:00111559","FBbt:00111556",,,,,,,,,,,,
"3#ptn.12","FBbt:00111558","FBbt:00111557",,,,,,,,,,,,
"3#ptn.13","FBbt:00111558","FBbt:00111557",,,,,,,,,,,,
"3#ptn.14","FBbt:00111548","FBbt:00008122",,,,,,,,,,,,
"3#ptn.15","FBbt:00111558","FBbt:00111557",,,,,,,,,,,,
"3#ptn.16","FBbt:00111558","FBbt:00111557",,,,,,,,,,,,
